Тип субјекта,Матични број,Пословно име,Статус,Детаљније
Друштво са ограниченом одговорношћу,17574973,"PREDUZEĆE ZA GRAĐEVINSKE I ZANATSKE RADOVE  RADNIK RK  DOO, BEOGRAD (ZVEZDARA) - U LIKVIDACIJI",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20000074,AESSE DOO BEOGRAD - ZVEZDARA,Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20000058,"PREDUZEĆE ZA PROIZVODNJU,TRGOVINU I USLUGE LAVA GROUP DOO BEOGRAD (STARI GRAD)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20000244,PREDUZEĆE ZA IZDAVAČKU DELATNOST I TRGOVINU POP-KULT INDUSTRY DOO BEOGRAD (VRAČAR),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20000155,"PRIVREDNO DRUŠTVO ZA KNJIGOVODSTVENE USLUGE OFFICE - S DOO BEOGRAD, VRČIN, BOSANSKA 5A - U LIKVIDACIJI",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,8644276,"A VV A CONSULTING GROUP DOO, BEOGRAD",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20000171,DRUŠTVO ZA PROMET I USLUGE Z.R. COMMERCE DOO BEOGRAD (STARI GRAD) - U STEČAJU,Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,17483633,DIESEL ENGINES DOO ZA SPOLJNU I UNUTRAŠNJU TRGOVINU I USLUGE BEOGRAD (VRAČAR)-U LIKVIDACIJI,Привредно друштво у процесу ликвидације,детаљније
Друштво са ограниченом одговорношћу,6216099,"PREDUZEĆE ZA PROIZVODNJU, INŽENJERING, KONSALTING I PROJEKTOVANJE M.A.C. DOO, BEOGRAD (VOŽDOVAC)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17306618,"MANNER PREDUZEĆE ZA MEĐUNARODNU ŠPEDICIJU, TRANSPORT I TRGOVINU,DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU, BEOGRAD, ul. Dr. IVANA RIBARA br. 108 lok. 1 - U LIKVIDACIJI",Привредно друштво обрисано из регистра,детаљније
